s1,s2,s3,action,reward,ns1,ns2,ns3,done
0.32079673,0.9471481,2.3437154,-1.2605821778978918,-2.098987,0.18229602,0.9832437,2.8649893,0.0
0.18229602,0.9832437,2.8649893,1.8783385110582342,-2.749432,-0.010887329,0.99994075,3.8841727,0.0
-0.010887329,0.99994075,3.8841727,1.1005312934444582,-4.011615,-0.24822545,0.9687023,4.799208,0.0
-0.24822545,0.9687023,4.799208,1.7579957662567565,-5.624718,-0.51441014,0.8575443,5.789434,0.0
-0.51441014,0.8575443,5.789434,1.5793094017105953,-7.8110595,-0.76676995,0.641922,6.669489,0.0
-0.76676995,0.641922,6.669489,0.39159991524434057,-10.424383,-0.9439099,0.33020312,7.20967,0.0
-0.9439099,0.33020312,7.20967,1.6874969400924673,-13.0692215,-0.99879956,-0.048984,7.710447,0.0
-0.99879956,-0.048984,7.710447,-1.646029991792322,-15.511916,-0.91294867,-0.40807438,7.4268045,0.0
-0.91294867,-0.40807438,7.4268045,-1.2160685503234192,-12.922417,-0.71981484,-0.6941661,6.9383383,0.0
-0.71981484,-0.6941661,6.9383383,-1.8190908443578477,-10.454815,-0.4761691,-0.87935376,6.1448503,0.0
-0.4761691,-0.87935376,6.1448503,-0.6986786769469426,-8.049265,-0.22531506,-0.97428596,5.380533,0.0
-0.22531506,-0.97428596,5.380533,-0.44529084124207197,-6.1282415,0.0018848552,-0.9999982,4.583025,0.0
0.0018848552,-0.9999982,4.583025,-0.9146038729044164,-4.5627317,0.1855943,-0.98262644,3.6958358,0.0
0.1855943,-0.98262644,3.6958358,1.3149500366077174,-3.2834365,0.33770922,-0.9412505,3.1561084,0.0
0.33770922,-0.9412505,3.1561084,-0.5729866932256429,-2.500277,0.44635975,-0.8948536,2.3642225,0.0
0.44635975,-0.8948536,2.3642225,-0.876261961250477,-1.7876152,0.51480085,-0.85730976,1.5616431,0.0
0.51480085,-0.85730976,1.5616431,0.17078433263299386,-1.3048453,0.5546891,-0.8320577,0.9442784,0.0
0.5546891,-0.8320577,0.9442784,-1.4363031001009494,-1.0571388,0.559041,-0.82914,0.10478969,0.0
0.559041,-0.82914,0.10478969,1.2087879230161587,-0.9581976,0.5450438,-0.8384075,-0.33574712,0.0
0.5450438,-0.8384075,-0.33574712,-1.7017974252809167,-1.0029105,0.4929267,-0.8700709,-1.2198224,0.0
0.4929267,-0.8700709,-1.2198224,1.9475477464020692,-1.2663449,0.42271414,-0.90626305,-1.5802433,0.0
0.42271414,-0.90626305,-1.5802433,1.0889790771866297,-1.5376713,0.32556424,-0.9455199,-2.0965939,0.0
0.32556424,-0.9455199,-2.0965939,-1.2051372738633104,-1.9766096,0.18127543,-0.98343235,-2.9865043,0.0
0.18127543,-0.98343235,-2.9865043,-1.9779115315055904,-2.8238015,-0.018753957,-0.9998241,-4.0207653,0.0
-0.018753957,-0.9998241,-4.0207653,1.2618457138193366,-4.1449213,-0.24529395,-0.96944875,-4.5813565,0.0
-0.24529395,-0.96944875,-4.5813565,0.8274293753904685,-5.4069433,-0.4855912,-0.87418604,-5.1843286,0.0
-0.4855912,-0.87418604,-5.1843286,0.9160286721639492,-7.0059667,-0.7118772,-0.70230395,-5.702564,0.0
-0.7118772,-0.70230395,-5.702564,1.085081386743783,-8.8366995,-0.88915443,-0.45760727,-6.0665298,0.0
-0.88915443,-0.45760727,-6.0665298,-1.7038213930636386,-10.792285,-0.98992974,-0.1415598,-6.6653085,0.0
-0.98992974,-0.1415598,-6.6653085,-0.5661370858229096,-13.440289,-0.97991073,0.1994367,-6.8563986,0.0
-0.97991073,0.1994367,-6.8563986,-1.5365237618994811,-13.351743,-0.8537515,0.52068067,-6.9372997,0.0
